datetime,solar_W
2021-01-01 00:00:00,0.0
2021-01-01 00:10:00,0.0
2021-01-01 00:20:00,0.0
2021-01-01 00:30:00,0.0
2021-01-01 00:40:00,0.0
2021-01-01 00:50:00,0.0
2021-01-01 01:00:00,0.0
2021-01-01 01:10:00,0.0
2021-01-01 01:20:00,0.0
2021-01-01 01:30:00,0.0
2021-01-01 01:40:00,0.0
2021-01-01 01:50:00,0.0
2021-01-01 02:00:00,0.0
2021-01-01 02:10:00,0.0
2021-01-01 02:20:00,0.0
2021-01-01 02:30:00,0.0
2021-01-01 02:40:00,0.0
2021-01-01 02:50:00,0.0
2021-01-01 03:00:00,0.0
2021-01-01 03:10:00,0.0
2021-01-01 03:20:00,0.0
2021-01-01 03:30:00,0.0
2021-01-01 03:40:00,0.0
2021-01-01 03:50:00,0.0
2021-01-01 04:00:00,0.0
2021-01-01 04:10:00,0.0
2021-01-01 04:20:00,0.0
2021-01-01 04:30:00,0.0
2021-01-01 04:40:00,0.0
2021-01-01 04:50:00,0.0
2021-01-01 05:00:00,0.0
2021-01-01 05:10:00,0.0
2021-01-01 05:20:00,0.0
2021-01-01 05:30:00,0.0
2021-01-01 05:40:00,0.0
2021-01-01 05:50:00,0.0
2021-01-01 06:00:00,0.0
2021-01-01 06:10:00,0.0
2021-01-01 06:20:00,0.0
2021-01-01 06:30:00,0.0
2021-01-01 06:40:00,0.0
2021-01-01 06:50:00,0.0
2021-01-01 07:00:00,0.0
2021-01-01 07:10:00,0.0
2021-01-01 07:20:00,0.0
2021-01-01 07:30:00,0.0
2021-01-01 07:40:00,66.22887497615501
2021-01-01 07:50:00,174.7314999370898
2021-01-01 08:00:00,389.2656067035005
2021-01-01 08:10:00,606.8016357297379
2021-01-01 08:20:00,771.5461481282625
2021-01-01 08:30:00,928.9963573931933
2021-01-01 08:40:00,1077.5475076361947
2021-01-01 08:50:00,1213.983187872134
2021-01-01 09:00:00,1342.231500767968
2021-01-01 09:10:00,1412.688210689832
2021-01-01 09:20:00,1522.6993092521166
2021-01-01 09:30:00,1450.1521391661706
2021-01-01 09:40:00,1713.8116764991614
2021-01-01 09:50:00,1802.7377207903955
2021-01-01 10:00:00,1881.5628639455647
2021-01-01 10:10:00,1960.3847874701175
2021-01-01 10:20:00,2017.2492901424962
2021-01-01 10:30:00,2079.1071332684132
2021-01-01 10:40:00,2141.9366915773116
2021-01-01 10:50:00,2215.7408974450927
2021-01-01 11:00:00,2296.8444658660064
2021-01-01 11:10:00,2323.6940387809395
2021-01-01 11:20:00,2381.03765315209
2021-01-01 11:30:00,2401.0436712196342
2021-01-01 11:40:00,2438.0582312514607
2021-01-01 11:50:00,2232.462892284573
2021-01-01 12:00:00,2466.18446436341
2021-01-01 12:10:00,2546.138318023014
2021-01-01 12:20:00,2538.3601504025964
2021-01-01 12:30:00,2551.2337667617953
2021-01-01 12:40:00,2534.688698290437
2021-01-01 12:50:00,2551.0251040347457
2021-01-01 13:00:00,2541.360846136474
2021-01-01 13:10:00,2532.850749156076
2021-01-01 13:20:00,2519.815384687371
2021-01-01 13:30:00,2486.4652242434977
